Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
791763,2011,1,0.791666667,0.038602941,0.75,0.046875,0.71654321,0.078515401,0.603174603,0.121967179,0.709814815,0.105571663,0.5,0.285714286,1,0,0.672131148,0.224043716,0.83,0.142525253
275275,2011,1,0.8625,0.042598684,0.825,0.042361111,0.833255814,0.072944569,0.743,0.107201014,0.710833333,0.115346751,1,0,1,0,0.655737705,0.229508197,0.788135593,0.168405041
926668,2011,1,0.675,0.040131579,0.65,0.044444444,0.662790698,0.10127212,0.599571429,0.11218677,0.504666667,0.126801582,1,0,1,0,0.573770492,0.24863388,0.728813559,0.199333623
548458,2011,1,,,,,,,,,,,,,,,,,,
791827,2011,1,,,,,,,,,,,,,,,,,,
965332,2011,1,0.6125,0.088651316,0.525,0.075694444,0.728837209,0.101113926,0.676571429,0.113046046,0.627333333,0.170294463,0.625,0.267857143,0.5,0.285714286,0.655737705,0.229508197,0.813559322,0.152976967
257604,2011,1,,,,,,,,,,,,,,,,,,
697639,2011,1,,,,,,,,,,,,,,,,,,
976647,2011,1,0.5375,0.120230263,0.475,0.145138889,0.59255814,0.114214555,0.647428571,0.109807785,0.616333333,0.105565989,0.625,0.267857143,0.875,0.125,0.524590164,0.253551913,0.677966102,0.220194118
799682,2011,1,0.875,0.023026316,0.825,0.042361111,0.795116279,0.071180575,0.786,0.074511304,0.833333333,0.073788701,0.5,0.285714286,0.75,0.214285714,0.524590164,0.253551913,0.855932203,0.124366218
949573,2011,1,0.7625,0.062335526,0.7,0.038888889,0.624186047,0.091671683,0.585714286,0.105178468,0.650333333,0.081355819,0.125,0.125,0.875,0.125,0.409836066,0.245901639,0.737288136,0.195349848
309240,2011,1,0.3875,0.088651316,0.3,0.066666667,0.495581395,0.128064952,0.581142857,0.131587081,0.516333333,0.14154226,0.25,0.214285714,0.875,0.125,0.573770492,0.24863388,0.737288136,0.195349848
373136,2011,1,0.7125,0.028125,0.6,0.030555556,0.779534884,0.064632722,0.748,0.075871304,0.806166667,0.08021387,1,0,1,0,0.655737705,0.229508197,0.847457627,0.130378096
269103,2011,1,0.8125,0.058388158,0.75,0.055555556,0.845581395,0.054074364,0.824285714,0.057216149,0.8785,0.037345169,1,0,0.875,0.125,0.704918033,0.21147541,0.847457627,0.130378096
666774,2011,1,0.6875,0.025493421,0.575,0.05625,0.806860465,0.066628851,0.767142857,0.085093168,0.745,0.133235593,0.375,0.267857143,0.75,0.214285714,0.573770492,0.24863388,0.762711864,0.182529335
597262,2011,1,0.6125,0.068914474,0.45,0.038888889,0.759534884,0.096350369,0.737571429,0.122665031,0.855666667,0.065635141,0.25,0.214285714,0.75,0.214285714,0.442622951,0.250819672,0.754237288,0.186947704
691598,2011,1,0.825,0.040131579,0.75,0.041666667,0.822093023,0.080346156,0.776,0.112256232,0.727166667,0.138051158,1,0,0.625,0.267857143,0.557377049,0.250819672,0.711864407,0.20686658
980175,2011,1,0.5125,0.036019737,0.425,0.014583333,0.510697674,0.081147743,0.576,0.087546087,0.471333333,0.073523616,0,0,0.5,0.285714286,0.475409836,0.253551913,0.737288136,0.195349848
517020,2011,1,0.75,0.039473684,0.7,0.038888889,0.701162791,0.097546867,0.652142857,0.124396791,0.616666667,0.135466667,0.625,0.267857143,1,0,0.639344262,0.23442623,0.813559322,0.152976967
635914,2011,1,0.8625,0.016282895,0.8,0.025,0.930697674,0.02884186,0.867571429,0.03644764,0.866666667,0.065049718,0.875,0.125,0.875,0.125,0.803278689,0.160655738,0.779661017,0.173258004
245768,2011,1,0.825,0.033552632,0.775,0.034027778,0.833604651,0.07010803,0.761857143,0.110360269,0.811,0.095917627,1,0,0.625,0.267857143,0.540983607,0.252459016,0.830508475,0.141967261
941891,2011,1,0.65,0.048684211,0.575,0.028472222,0.783139535,0.085991204,0.729,0.08827,0.638666667,0.13724904,0.75,0.214285714,0.75,0.214285714,0.590163934,0.245901639,0.788135593,0.168405041
393738,2011,1,0.7125,0.054440789,0.625,0.059027778,0.616395349,0.085764501,0.604714286,0.111120932,0.611166667,0.08802404,0.625,0.267857143,0.875,0.125,0.557377049,0.250819672,0.788135593,0.168405041
159458,2011,1,0.5625,0.051809211,0.475,0.075694444,0.760116279,0.098645869,0.719428571,0.089419959,0.706,0.10615322,0.5,0.285714286,0.75,0.214285714,0.590163934,0.245901639,0.737288136,0.195349848
798161,2011,1,0.8,0.036842105,0.75,0.027777778,0.78372093,0.067449521,0.671428571,0.108453002,0.728,0.09644339,0.5,0.285714286,1,0,0.573770492,0.24863388,0.762711864,0.182529335
667277,2011,1,,,,,,,,,,,,,,,,,,
548728,2011,1,,,,,,,,,,,,,,,,,,
758610,2011,1,0.825,0.013815789,0.775,0.020138889,0.775581395,0.077257893,0.690571429,0.120648944,0.667166667,0.087163023,0.375,0.267857143,1,0,0.442622951,0.250819672,0.737288136,0.195349848
551544,2011,1,0.6875,0.018914474,0.625,0.045138889,0.682093023,0.084132038,0.680714286,0.108340062,0.667,0.105956949,0.625,0.267857143,1,0,0.573770492,0.24863388,0.779661017,0.173258004
540538,2011,1,0.7625,0.055756579,0.675,0.05625,0.81755814,0.08067985,0.690428571,0.136725901,0.749666667,0.115898192,0.5,0.285714286,0.875,0.125,0.754098361,0.18852459,0.813559322,0.152976967
674303,2011,1,0.575,0.079605263,0.45,0.094444444,0.576976744,0.127291929,0.590285714,0.14281441,0.583166667,0.131032175,0.25,0.214285714,0.875,0.125,0.655737705,0.229508197,0.805084746,0.158264523
940465,2011,1,,,,,,,,,,,,,,,,,,
812942,2011,1,0.85,0.028947368,0.8,0.025,0.744418605,0.078046129,0.681571429,0.088798944,0.650833333,0.092445056,0.25,0.214285714,0.875,0.125,0.655737705,0.229508197,0.838983051,0.136245111
929383,2011,1,0.8375,0.034703947,0.775,0.034027778,0.888372093,0.032703201,0.771857143,0.092128385,0.778,0.108189153,0.5,0.285714286,1,0,0.721311475,0.204371585,0.771186441,0.177966102
998758,2011,1,0.85,0.022368421,0.775,0.034027778,0.772325581,0.058253352,0.686,0.083943188,0.779166667,0.058811158,0.5,0.285714286,0.875,0.125,0.606557377,0.242622951,0.822033898,0.147544546
347303,2011,1,0.575,0.073026316,0.475,0.075694444,0.697209302,0.109545062,0.766714286,0.088529627,0.688666667,0.143089718,1,0,0.5,0.285714286,0.524590164,0.253551913,0.805084746,0.158264523
196453,2011,1,,,,,,,,,,,,,,,,,,
891043,2011,1,,,,,,,,,,,,,,,,,,
821273,2011,1,0.5625,0.071546053,0.475,0.089583333,0.67872093,0.082761874,0.628428571,0.105511988,0.6115,0.132918051,0.375,0.267857143,1,0,0.508196721,0.254098361,0.703389831,0.210415761
122752,2011,1,,,,,,,,,,,,,,,,,,
279108,2011,1,,,,,,,,,,,,,,,,,,
707168,2011,1,0.575,0.020394737,0.525,0.020138889,0.577674419,0.08556394,0.628714286,0.111846149,0.5775,0.124463136,0.875,0.125,1,0,0.704918033,0.21147541,0.694915254,0.213820078
896100,2011,1,,,,,,,,,,,,,,,,,,
696050,2011,1,0.7125,0.028125,0.675,0.042361111,0.706162791,0.082480397,0.638,0.112537971,0.717333333,0.078789379,0.625,0.267857143,0.875,0.125,0.590163934,0.245901639,0.796610169,0.163407214
544084,2011,1,,,,,,,,,,,,,,,,,,
544695,2011,1,0.675,0.046710526,0.65,0.030555556,0.857209302,0.045806238,0.767428571,0.078529524,0.750166667,0.089411836,0.25,0.214285714,1,0,0.62295082,0.238797814,0.737288136,0.195349848
643900,2011,1,,,,,,,,,,,,,,,,,,
791815,2011,1,0.9125,0.014967105,0.875,0.017361111,0.957674419,0.014999234,0.876285714,0.058710642,0.95,0.033315254,1,0,0.625,0.267857143,0.672131148,0.224043716,0.830508475,0.141967261
156460,2011,1,,,,,,,,,,,,,,,,,,
241016,2011,1,0.65,0.022368421,0.55,0.052777778,0.686162791,0.095621573,0.690142857,0.117610124,0.6275,0.121534322,1,0,0.375,0.267857143,0.459016393,0.252459016,0.652542373,0.228668695
116331,2011,1,,,,,,,,,,,,,,,,,,
957673,2011,1,0.825,0.033552632,0.75,0.055555556,0.853604651,0.045797442,0.767,0.075557536,0.856166667,0.054030819,1,0,1,0,0.62295082,0.238797814,0.805084746,0.158264523
943688,2011,1,0.902777778,0.015727124,0.833333333,0.0625,0.845064935,0.048285851,0.767619048,0.088537788,0.815925926,0.052903843,0.571428571,0.285714286,0.857142857,0.142857143,0.622641509,0.239477504,0.834862385,0.139143731
700571,2011,1,0.6,0.022368421,0.425,0.028472222,0.619767442,0.097964651,0.642857143,0.111154037,0.438666667,0.160472768,0.375,0.267857143,0.875,0.125,0.655737705,0.229508197,0.728813559,0.199333623
107467,2011,1,0.775,0.025657895,0.75,0.027777778,0.659767442,0.065842298,0.647714286,0.090496149,0.644666667,0.105540565,0.625,0.267857143,1,0,0.68852459,0.218032787,0.813559322,0.152976967
501472,2011,1,0.7125,0.041282895,0.675,0.05625,0.651860465,0.073537674,0.595714286,0.103337888,0.650833333,0.084950141,0.125,0.125,0.875,0.125,0.557377049,0.250819672,0.822033898,0.147544546
509820,2011,1,0.7875,0.034703947,0.725,0.034027778,0.833255814,0.078146922,0.8,0.098231884,0.800166667,0.091408446,1,0,1,0,0.721311475,0.204371585,0.728813559,0.199333623
957688,2011,1,,,,,,,,,,,,,,,,,,
687459,2011,1,0.65,0.068421053,0.575,0.084027778,0.674418605,0.092102599,0.681,0.108235217,0.644166667,0.101939972,0.5,0.285714286,0.875,0.125,0.62295082,0.238797814,0.779661017,0.173258004
412627,2011,1,0.5875,0.054440789,0.5,0.041666667,0.717093023,0.114216156,0.757428571,0.083854161,0.649166667,0.152912853,1,0,0.875,0.125,0.655737705,0.229508197,0.86440678,0.118209474
448735,2011,1,,,,,,,,,,,,,,,,,,
904011,2011,1,0.7125,0.034703947,0.65,0.030555556,0.76372093,0.088931874,0.737857143,0.103301139,0.633,0.131319661,0.875,0.125,0.75,0.214285714,0.606557377,0.242622951,0.771186441,0.177966102
879141,2011,1,0.75,0.013157895,0.675,0.028472222,0.798372093,0.07963026,0.747142857,0.09552795,0.749666667,0.123393107,1,0,0.75,0.214285714,0.557377049,0.250819672,0.822033898,0.147544546
991512,2011,1,0.6875,0.064967105,0.625,0.059027778,0.56127907,0.085267756,0.604285714,0.095190062,0.605166667,0.081849124,0.25,0.214285714,0.875,0.125,0.524590164,0.253551913,0.762711864,0.182529335
589345,2011,1,0.725,0.065131579,0.675,0.070138889,0.767674419,0.107615705,0.723857143,0.122676211,0.755166667,0.10932709,0.875,0.125,0.375,0.267857143,0.639344262,0.23442623,0.771186441,0.177966102
735348,2011,1,0.7375,0.042598684,0.675,0.042361111,0.732790698,0.083660356,0.705142857,0.12120795,0.639166667,0.110875565,0.25,0.214285714,1,0,0.459016393,0.252459016,0.618644068,0.237940026
432783,2011,1,,,,,,,,,,,,,,,,,,
524980,2011,1,0.8375,0.028125,0.775,0.034027778,0.923023256,0.025066047,0.914857143,0.027752878,0.9,0.046555932,1,0,1,0,0.606557377,0.242622951,0.830508475,0.141967261
795823,2011,1,0.8125,0.032072368,0.75,0.027777778,0.80627907,0.074793051,0.757285714,0.099950497,0.7885,0.113382458,1,0,1,0,0.672131148,0.224043716,0.745762712,0.191221208
433408,2011,1,0.7375,0.062335526,0.7,0.094444444,0.802209302,0.095506826,0.804428571,0.092311988,0.766166667,0.110990141,0.5,0.285714286,1,0,0.524590164,0.253551913,0.703389831,0.210415761
318418,2011,1,0.5375,0.087335526,0.4,0.113888889,0.57744186,0.158433379,0.709285714,0.122670497,0.555833333,0.119906073,0.75,0.214285714,0.75,0.214285714,0.540983607,0.252459016,0.838983051,0.136245111
537701,2011,1,,,,,,,,,,,,,,,,,,
