,Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
182,333854,2010.0,1,0.675,0.06644736799999999,0.675,0.05625,0.6748837209999999,0.08673586900000001,0.499428571,0.11263155300000001,0.6113333329999999,0.144198192,0.875,0.125,0.25,0.214285714,0.655737705,0.229508197,0.74789916,0.19014385399999997
249,541040,2010.0,1,0.65,0.035526316,0.65,0.030555556,0.6945348840000001,0.071587428,0.537571429,0.107995466,0.550333333,0.10176259900000001,1.0,0.0,0.875,0.125,0.508196721,0.254098361,0.7288135590000001,0.19933362300000002
165,993680,2009.0,1,0.775,0.034027778,0.75,0.041666667000000004,0.974358974,0.025641026,0.95,0.048101266,0.825,0.148076923,0.7777777779999999,0.194444444,1.0,0.0,0.5697674420000001,0.24801641600000002,0.81981982,0.149058149
437,897788,2012.0,1,0.75,0.040625,0.675,0.063125,0.8191111109999999,0.022645136,0.808571429,0.014865306000000002,0.783333333,0.028277777999999996,1.0,0.0,0.875,0.109375,0.6310267860000001,0.042267257999999995,0.7204884,0.032692133
418,523570,2012.0,0,0.7375,0.13265625,0.725,0.143125,0.782222222,0.038696296,0.702857143,0.074971429,0.72,0.093155556,0.5,0.25,0.625,0.234375,0.69578373,0.03831345,0.7108180709999999,0.018218189
84,443702,2008.0,1,0.575,0.07013888900000001,0.547222222,0.082484568,0.9,0.092307692,0.943661972,0.053923541,0.806451613,0.161290323,1.0,0.0,0.7777777779999999,0.194444444,0.670454545,0.223484848,0.7818181820000001,0.172143453
544,311701,2013.0,1,0.6625,0.05953125,0.725,0.043125,0.971,0.0013289999999999999,0.8742857140000001,0.021420408,0.876190476,0.02015873,0.9375,0.01171875,0.875,0.109375,0.740198413,0.037610328,0.7625119659999999,0.030112631
552,186607,2013.0,1,0.65,0.03375,0.675,0.038125,0.894,0.026404,0.8542857140000001,0.019502041,0.780952381,0.036566892999999996,0.78125,0.022460938,0.625,0.234375,0.514047619,0.047214683,0.7036108670000001,0.068971936
255,750229,2010.0,1,0.675,0.06644736799999999,0.675,0.07013888900000001,0.663604651,0.077592736,0.633428571,0.10097937900000001,0.5611666670000001,0.111776582,0.5,0.28571428600000004,0.875,0.125,0.672131148,0.224043716,0.7983193279999999,0.162370033
202,776006,2010.0,1,0.8125,0.032072368,0.8,0.038888888999999996,0.7754651159999999,0.074721546,0.657285714,0.116373685,0.783333333,0.075164972,0.875,0.125,0.875,0.125,0.7377049179999999,0.196721311,0.7983193279999999,0.162370033
127,995613,2009.0,1,0.7,0.080555556,0.65,0.072222222,1.0,0.0,0.95,0.048101266,0.85,0.13076923099999999,0.333333333,0.25,0.7777777779999999,0.194444444,0.697674419,0.213406293,0.81981982,0.149058149
97,792928,2009.0,1,0.25,0.06944444400000001,0.15,0.030555556,0.7435897440000001,0.195681511,0.6625,0.22642405100000002,0.575,0.250641026,0.333333333,0.25,0.666666667,0.25,0.406976744,0.244186047,0.774774775,0.176085176
345,289316,2011.0,1,0.5125,0.042598684000000005,0.4,0.030555556,0.7167441859999999,0.106565746,0.69,0.120869565,0.666333333,0.106182938,0.625,0.267857143,0.75,0.214285714,0.426229508,0.24863388,0.610169492,0.23989569800000002
